Date,Strike Price,Last,Underlying,Buy Price,VIX,P/E,1 USD,1 GBP,1 EURO,100 YEN,P&L
2011-09-29,4600.0,414.0,5015.45,355.5,31.07,18.11,48.9253,76.5192,66.6458,63.9,58.5
2011-10-25,4800.0,388.0,5191.6,232.2,22.31,18.39,49.6598,79.3862,69.151,65.28,155.8
2011-11-24,4900.0,0.05,4756.45,300.0,27.95,17.22,52.25,81.2279,69.8261,67.75,-299.95
2011-12-29,4500.0,146.8,4646.25,305.0,26.62,16.83,53.3585,82.5082,68.9881,68.67,-158.2
2012-01-25,4400.0,761.35,5158.3,348.8,21.02,18.38,50.0215,78.0535,65.1255,64.19,412.55
2012-02-23,4900.0,582.05,5483.3,300.0,24.33,19.21,49.245,77.1866,65.2903,61.35,282.04999999999995
2012-03-29,5200.0,0.05,5178.85,409.65,24.33,18.3,51.145,81.4126,68.224,62.02,-409.59999999999997
2012-04-26,4900.0,282.75,5189.0,343.45,18.74,18.22,52.567,85.0271,69.563,64.78,-60.69999999999999
2012-05-31,4900.0,19.5,4924.25,356.25,25.25,16.66,56.4225,87.3759,69.9513,71.57,-336.75
2012-06-28,4700.0,449.8,5149.15,260.95,20.62,17.08,56.9195,88.9054,71.2483,71.68,188.85000000000002
2012-07-26,4900.0,143.0,5043.0,297.55,16.37,16.62,55.948,86.5572,67.9535,71.56,-154.55
2012-08-30,4800.0,509.65,5315.05,345.05,16.67,17.83,55.6485,88.1027,69.836,70.78,164.59999999999997
2012-09-27,5000.0,649.5,5649.5,315.2,16.91,18.98,53.255,86.2332,68.6385,68.56,334.3
2012-10-25,5400.0,305.9,5705.3,316.45,13.52,18.81,53.63,86.178,69.7455,66.91,-10.550000000000011
2012-11-29,5400.0,424.0,5825.0,333.95,15.37,18.42,55.202,88.3756,71.47,67.2,90.05000000000001
2012-12-27,5500.0,376.0,5870.1,288.6,13.74,18.57,54.8465,88.5497,72.633,63.98,87.39999999999998
2013-01-31,5600.0,436.35,6034.75,370.0,14.13,18.5,53.289,84.2233,72.2325,58.66,66.35000000000002
2013-02-28,5700.0,0.05,5693.05,388.0,14.86,17.66,53.7735,81.569,70.6805,58.24,-387.95
2013-03-28,5400.0,277.0,5682.55,458.9,15.22,17.57,54.3893,82.3209,69.5438,57.76,-181.89999999999998
2013-04-25,5400.0,516.85,5916.3,280.0,14.2,18.0,54.1715,82.9853,70.6215,54.64,236.85000000000002
2013-05-30,5600.0,522.0,6124.05,317.45,16.04,18.37,56.0995,85.131,72.7976,55.68,204.55
2013-06-27,5800.0,0.05,5682.35,318.25,18.85,17.28,60.588,92.9178,78.9412,61.79,-318.2
2013-07-25,5400.0,508.4,5907.5,291.0,16.72,17.68,58.9415,90.4752,77.8668,59.01,217.39999999999998
2013-08-29,5600.0,0.05,5409.05,434.0,29.41,15.59,67.706,105.1406,90.0295,69.22,-433.95
2013-09-26,5100.0,783.0,5882.25,332.15,24.0,17.1,62.226,100.0594,84.1073,62.84,450.85
2013-10-31,5600.0,700.7,6299.15,391.3,18.39,18.18,61.41,98.2867,84.1245,62.44,309.40000000000003
2013-11-28,6000.0,86.9,6091.85,320.0,20.71,18.13,62.3896,101.8011,84.7547,61.1,-233.1
2013-12-26,5800.0,470.3,,375.3,14.88,18.64,61.9755,101.4911,84.7925,59.15,95.0
2014-02-26,5800.0,434.5,6238.8,300.0,13.955,17.57,61.938,103.3126,85.1148,60.53,134.5
2014-03-27,5900.0,737.5,6641.75,355.0,18.3725,18.71,60.1295,99.6466,82.906,58.81,382.5
2014-04-23,6300.0,541.85,6840.8,381.0,31.1325,19.2,61.0683,102.7657,84.486,59.51,160.85000000000002
2014-05-29,6500.0,730.8,7235.65,478.65,16.69,19.79,58.8415,98.4065,80.0315,57.85,252.14999999999998
2014-06-26,6900.0,588.2,7493.2,453.4,17.7025,20.33,60.1618,102.2329,82.044,59.12,134.80000000000007
2014-07-31,7100.0,623.5,7721.3,513.1,13.8225,20.56,60.246,101.9242,80.6985,58.61,110.39999999999998
2014-08-28,7300.0,645.5,7954.35,512.8,13.0675,20.8,60.4745,100.3514,79.862,58.27,132.70000000000005
2014-09-25,7600.0,303.0,7911.85,399.65,13.2975,20.68,61.0245,99.4272,77.8429,55.87,-96.64999999999998
2014-10-30,7500.0,662.5,8169.2,557.85,13.265,21.16,61.4636,98.2127,77.4503,56.34,104.64999999999998
2014-11-27,7800.0,699.2,8494.2,350.0,12.7425,21.7,61.865,97.691,77.3746,52.71,349.20000000000005
2014-12-24,8100.0,65.05,8174.1,435.9,15.07,20.88,63.4614,98.5111,77.3087,52.73,-370.84999999999997
2015-01-29,7800.0,1148.0,8952.35,546.45,19.4325,22.84,61.4998,93.123,69.3287,52.25,601.55
2015-02-26,8500.0,178.0,8683.85,497.25,20.58,23.22,61.9395,96.2416,70.388,52.06,-319.25
2015-03-26,8200.0,135.0,8342.15,627.0,15.1625,22.36,62.6728,93.2634,68.8523,52.75,-492.0
2015-04-30,7900.0,282.2,8181.5,658.8,17.225,22.07,63.578,97.9864,70.5334,53.53,-376.59999999999997
2015-05-28,7800.0,520.75,8319.0,447.2,17.1325,22.61,63.901,98.1647,69.7352,51.6,73.55000000000001
2015-06-25,7900.0,500.7,8398.0,476.95,15.93,23.27,63.6121,99.7947,71.1692,51.4,23.75
2015-07-30,8000.0,414.4,8421.8,399.95,15.325,23.23,64.0061,99.8303,70.0739,51.53,14.449999999999989
2015-08-27,8000.0,0.1,7948.95,470.8,22.0425,22.02,66.0605,102.3475,74.9655,55.08,-470.7
2015-09-24,7600.0,269.05,7868.5,404.6,20.8825,21.81,66.0993,100.8874,73.9585,55.08,-135.55
2015-10-29,7500.0,612.6,8111.75,428.0,17.5825,22.19,65.1515,99.3626,71.2497,53.93,184.60000000000002
2015-11-26,7700.0,178.5,7883.8,506.8,16.6875,21.31,66.5507,100.6446,70.6968,54.3,-328.3
2015-12-31,7500.0,446.5,7946.35,414.8,13.87,21.49,66.326,98.3482,72.501,55.09,31.69999999999999
2016-01-28,7500.0,0.05,7424.65,442.95,17.9,19.85,68.0858,97.0155,74.0637,57.36,-442.9
2016-02-25,7100.0,0.05,6970.6,377.4,22.745,18.85,68.599,95.5721,75.6784,61.01,-377.34999999999997
2016-03-31,6600.0,1137.05,7738.4,477.1,16.5825,20.89,66.3329,95.0882,75.0955,59.06,659.9499999999999
2016-04-28,7400.0,447.9,7847.25,408.0,16.5975,21.3,66.4045,96.831,75.4222,61.32,39.89999999999998
2016-05-26,7500.0,571.0,8069.65,526.0,15.325,22.39,67.2855,98.9501,75.2185,61.34,45.0
2016-06-30,7700.0,585.9,8287.75,327.8,16.29,22.75,67.6166,90.5183,75.0071,65.91,258.09999999999997
2016-07-28,7900.0,767.85,8666.3,420.05,15.1475,23.69,67.055,88.4254,74.364,64.07,347.8
2016-08-25,8200.0,387.4,8592.2,485.0,13.285,23.62,67.0876,88.6563,75.5943,66.84,-97.60000000000002
2016-09-29,8200.0,388.15,8591.25,525.0,18.45,23.51,66.5521,86.6109,74.6848,65.43,-136.85000000000002
2016-10-27,8200.0,411.95,8615.25,643.15,14.085,23.28,66.8854,81.6938,72.9385,63.93,-231.2
2016-11-24,8200.0,0.05,7965.5,442.3,17.16,21.29,68.656,85.36,72.384,60.9,-442.25
2016-12-29,7600.0,505.5,8103.6,456.0,15.2825,21.89,68.1241,83.418,71.2101,58.41,49.5
2017-01-25,7700.0,905.5,8602.75,387.45,15.17,22.98,68.1556,85.3104,73.0901,59.98,518.05
2017-02-23,8200.0,736.0,8939.5,350.1,13.4,23.36,66.8351,83.1228,70.5444,59.01,385.9
2017-03-30,8500.0,676.2,9173.75,500.0,12.15,23.82,64.9325,80.7501,69.8739,58.43,176.20000000000005
2017-04-27,8700.0,642.2,9342.15,490.0,11.07,23.73,64.1141,82.5854,69.8908,57.6,152.20000000000005
2017-05-25,8900.0,604.8,9509.75,468.95,10.4475,24.88,64.5088,83.7711,72.4692,57.74,135.84999999999997
2017-06-29,9000.0,501.0,9504.1,418.1,11.3825,24.19,64.4715,83.5615,73.5233,57.4,82.89999999999998
2017-07-27,9000.0,1018.25,10020.55,545.0,11.2175,25.56,64.1216,84.2109,75.2082,57.74,473.25
2017-08-31,9500.0,410.5,9917.9,598.0,11.9525,25.62,64.0154,82.6951,76.0439,57.91,-187.5
2017-09-28,9400.0,364.8,9768.95,525.0,13.1725,25.44,65.7604,87.9808,77.1764,58.18,-160.2
2017-10-26,9300.0,1042.0,10343.8,472.6,11.6175,26.73,64.7888,85.884,76.6063,57.06,569.4
2017-11-30,9800.0,422.8,10226.55,535.0,13.55,26.16,64.4332,86.798,76.4887,57.46,-112.19999999999999
2017-12-28,9700.0,776.0,10477.9,660.0,12.2975,26.82,64.1716,86.221,76.5631,56.89,116.0
2018-01-25,10000.0,1063.0,11069.65,545.45,17.5075,27.61,63.4983,90.9169,79.0681,58.36,517.55
2018-02-22,10500.0,0.05,,644.0,14.8325,25.49,65.0458,90.4137,79.8307,60.55,-643.95
2018-04-26,9600.0,1014.3,10617.8,615.0,12.0375,26.36,66.8299,93.1676,81.3788,61.12,399.29999999999995
2018-05-31,10100.0,624.4,10736.15,520.8,13.2225,27.19,67.4526,89.7929,78.7914,62.04,103.60000000000002
2018-06-28,10200.0,389.95,10589.1,485.5,13.9475,25.57,68.9389,90.2134,79.6382,62.53,-95.55000000000001
2018-07-26,10100.0,1053.2,,561.65,12.0275,27.75,68.7017,90.6633,80.6045,62.09,491.55000000000007
2018-09-27,11200.0,0.05,,566.5,16.9225,26.69,72.6505,95.4347,85.0418,64.47,-566.45
2018-11-29,9900.0,955.2,,578.3,18.6975,26.27,69.9159,89.7389,79.5801,61.71,376.9000000000001
2019-01-31,10300.0,521.0,10830.95,615.1,17.1225,26.26,71.0333,93.2383,81.6836,65.3,-94.10000000000002
2019-02-28,10300.0,482.0,,485.25,18.2775,26.32,71.1953,94.7021,80.979,64.24,-3.25
2019-04-25,11100.0,533.0,11641.8,647.95,23.2325,29.06,69.9418,90.259,78.0527,62.49,-114.95000000000005
2019-05-30,11100.0,840.0,,803.0,15.61,29.65,69.7852,88.1666,77.7095,63.59,37.0
2019-07-25,11200.0,51.0,11252.15,683.15,12.635,27.57,68.9904,86.0738,76.8181,63.81,-632.15
2019-08-29,10700.0,249.0,10948.3,659.95,16.425,27.09,71.9971,87.9358,79.7949,67.98,-410.95000000000005
2019-09-26,10400.0,1170.3,11571.2,640.0,16.3425,26.22,70.9021,87.6766,77.6619,65.87,530.3
2019-10-31,11000.0,877.15,11877.45,590.0,16.28,27.38,70.8095,91.5,79.0338,65.15,287.15
2019-11-28,11300.0,853.0,12151.15,670.0,13.9875,28.32,71.5147,92.5867,78.731,65.33,183.0
2019-12-26,11500.0,627.9,12126.55,682.4,11.1225,28.26,71.2699,92.5549,79.0264,65.05,-54.5
2020-01-30,11500.0,535.0,12035.8,797.75,16.7975,26.57,71.4772,93.0209,78.7102,65.62,-262.75
2020-02-27,11400.0,232.05,11633.3,738.6,17.765,26.48,71.6124,92.6273,78.1692,65.06,-506.55
2020-03-26,11100.0,0.05,8641.45,595.0,71.5325,19.47,75.2392,89.0185,82.0483,67.98,-594.95
2020-04-30,8200.0,1670.9,9859.9,950.1,33.9875,22.35,75.115,93.5923,81.617,70.48,720.8000000000001
2020-05-28,9400.0,90.0,9490.1,509.0,30.0175,22.17,75.7501,92.9418,83.4812,70.25,-419.0
2020-06-25,9000.0,1288.1,10288.9,471.45,29.7275,25.59,75.6349,93.9184,85.0676,70.57,816.6499999999999
2020-07-30,9800.0,1304.75,11102.15,583.15,24.7275,29.46,74.8412,96.9278,87.9624,71.12,721.6
2020-08-27,10500.0,1060.6,11559.25,782.0,18.895,32.67,74.3263,98.1464,87.9141,70.09,278.5999999999999
2020-09-24,11000.0,0.1,10805.55,668.95,23.51,30.97,73.9246,93.865,86.1414,70.2,-668.85
2020-10-29,10300.0,1375.1,11670.8,858.0,24.0225,31.56,73.9732,96.3269,86.9654,70.87,517.0999999999999
2020-11-26,11100.0,1893.25,12987.0,666.25,20.0225,35.71,73.8262,98.8641,88.0825,70.75,1227.0
2020-12-31,12300.0,1692.0,13981.75,705.1,21.095,38.45,,,,,986.9
2021-01-28,13300.0,517.65,13817.55,800.05,24.29,36.96,73.0674,99.8929,88.377,70.07,-282.4
2021-02-25,13100.0,2000.0,15097.35,870.0,22.8925,41.2,,,,,1130.0
2021-03-25,14300.0,24.35,14324.9,988.35,22.6975,39.02,72.6102,99.3675,85.819,66.63,-964.0
2021-04-29,13600.0,1297.7,14894.9,1057.55,23.305,32.79,74.0573,103.346,89.8276,68.13,240.1500000000001
2021-05-27,14200.0,1145.0,15337.85,932.25,19.91,29.48,,,,,212.75
2021-06-24,14600.0,1207.95,15790.45,819.05,15.0975,29.08,74.2362,103.6417,88.5791,66.97,388.9000000000001
2021-07-29,15000.0,782.95,15778.45,807.0,12.945,27.08,74.2822,103.5108,88.0769,67.66,-24.049999999999955
2021-08-26,15000.0,1637.0,16636.9,806.95,13.5375,25.49,74.2578,102.0639,87.345,67.49,830.05
2021-08-31,15800.0,1343.0,17132.2,896.05,14.52,26.25,73.1536,100.951,86.5324,66.6,446.95000000000005
2021-10-28,16300.0,1555.0,17857.25,1410.0,17.9125,26.39,74.8216,102.8378,86.8275,65.9,145.0
2021-11-25,17000.0,535.55,17536.25,1220.2,16.6625,24.19,74.5068,99.4646,83.5619,64.57,-684.6500000000001
2021-12-30,16700.0,505.9,17203.95,831.9,16.565,23.73,74.5823,100.5265,84.4321,64.77,-326.0
2022-01-27,16300.0,813.1,17110.15,1000.0,21.065,23.09,75.1724,100.9315,84.3449,65.54,-186.89999999999998
2022-02-24,16300.0,0.05,16247.95,819.75,31.9825,20.89,75.2578,101.6347,84.6414,65.69,-819.7
2022-03-31,15400.0,2068.2,17464.75,1252.25,20.56,22.92,75.8071,99.5524,84.6599,62.23,815.9499999999998
2022-04-28,16600.0,645.25,17245.05,1070.0,19.3775,22.2,76.6167,96.0191,80.6003,58.88,-424.75
2022-05-26,16400.0,0.05,16170.15,862.4,22.7175,19.88,77.6262,97.5001,82.8277,60.99,-862.35
2022-06-30,15400.0,380.5,15780.25,895.95,21.84,19.5,78.9421,95.9557,82.5803,57.96,-515.45
2022-07-28,15000.0,1932.5,16929.6,917.15,17.0125,20.49,79.7434,97.0642,81.5435,58.93,1015.35
2022-08-25,16100.0,1430.05,17522.45,789.3,19.57,20.92,79.8705,94.6135,79.9962,58.44,640.75
2022-09-29,16600.0,217.55,16818.1,1215.0,21.3025,20.08,81.8633,88.2115,79.0952,56.59,-997.45
2022-10-27,16000.0,1740.0,17736.95,1130.0,16.5975,21.1,82.3889,95.6228,82.9063,56.57,610.0
2022-11-24,16900.0,1594.7,18484.1,997.8,13.4775,22.21,81.7655,98.842,85.3125,58.86,596.9000000000001
2022-12-29,17600.0,591.55,18191.0,878.3,14.8125,21.86,82.8346,99.7213,88.004,62.0,-286.75
2023-01-25,17300.0,592.0,17891.95,905.25,14.655,21.19,81.6263,100.6523,89.0135,62.59,-313.25
